InChiKey,drug_code,drug_name,SMILES
FOFDIMHVKGYHRU-UHFFFAOYSA-N,MP-470,Amuvatinib,S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1
QHLVBNKYJGBCQJ-UHFFFAOYSA-N,NMS-1286937,Onvansertib,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCO)CC4)c2)CC1
JOGKUKXHTYWRGZ-UHFFFAOYSA-N,NVP-BEZ235,Dactolisib,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
SEJLPXCPMNSRAM-GOSISDBHSA-N,ONO-4059,Tirabrutinib,CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
MRPGRAKIAJJGMM-OCCSQVGLSA-N,P1446A-05,Voruciclib,CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccc(C(F)(F)F)cc4Cl)oc23)[C@@H]1CO
SUDAHWBOROXANE-SECBINFHSA-N,PD-0325901,Mirdametinib,O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
FWLMVFUGMHIOAA-UHFFFAOYSA-N,PF-04554878,Defactinib,CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3nccnc3N(C)S(C)(=O)=O)n2)cc1
YFNWWNRZJGMDBR-UHFFFAOYSA-N,PF-477736,,Cn1cc(C2=Nc3cc(NC(=O)C(N)C4CCCCC4)cc4c3C2=CNNC4=O)cn1
RXZMYLDMFYNEIM-UHFFFAOYSA-N,PHA-848125,Milciclib,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2
HUXYBQXJVXOMKX-UHFFFAOYSA-N,PHA-793887,,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C
DWZAEMINVBZMHQ-UHFFFAOYSA-N,PKI-587,Gedatolisib,CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1
IGUBBWJDMLCRIK-UHFFFAOYSA-N,PND-1186,,CNC(=O)c1ccccc1Nc1cc(Nc2ccc(N3CCOCC3)cc2OC)ncc1C(F)(F)F
BGLPECHZZQDNCD-UHFFFAOYSA-N,PRT-062070,Cerdulatinib,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1
YCOYDOIWSSHVCK-UHFFFAOYSA-N,PTK-787,Vatalanib,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
KXMZDGSRSGHMMK-VWLOTQADSA-N,R-428,Bemcentinib,Nc1nc(Nc2ccc3c(c2)CC[C@@H](N2CCCC2)CC3)nn1-c1cc2c(nn1)-c1ccccc1CCC2
RDSACQWTXKSHJT-NSHDSACASA-N,RDEA-119,Refametinib,COc1cc(F)c(F)c(Nc2ccc(I)cc2F)c1NS(=O)(=O)C1(C[C@H](O)CO)CC1
XLSYZSRXVVCHLS-UHFFFAOYSA-N,RGB-286638,,COCCN1CCN(Cc2ccc(-c3n[nH]c4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)cc2)CC1
FIMYFEGKMOCQKT-UHFFFAOYSA-N,RO-4987655,,O=C(NOCCO)c1cc(CN2OCCCC2=O)c(F)c(F)c1Nc1ccc(I)cc1F
LMMJFBMMJUMSJS-UHFFFAOYSA-N,RO-5126766,Avutometinib,CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F
WPTTVJLTNAWYAO-KPOXMGGZSA-N,RTA-401,Bardoxolone,COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
RGHYDLZMTYDBDT-UHFFFAOYSA-N,SAR-245409,Voxtalisib,CCn1c(=O)c(-c2cc[nH]n2)cc2c(C)nc(N)nc21
VXBAJLGYBMTJCY-NSCUHMNNSA-N,SB-1317,Zotiraciclib,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1
NNXDIGHYPZHXTR-ONEGZZNKSA-N,SB-1578,,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1
GZGLPBNOIFLLRE-UHFFFAOYSA-N,SPC-839,,COc1cccc2nc(-c3cccs3)nc(NN3C(=O)C=C(C)C3=O)c12
MHXGEROHKGDZGO-UHFFFAOYSA-N,SGI-1776,,CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1
GKEYKDOLBLYGRB-LGMDPLHJSA-N,SHR-1020,Famitinib,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O
BMTPVPNVQOYGAP-UHFFFAOYSA-N,SR-13668,,CCOC(=O)c1ccc2[nH]c3c(OC)c4[nH]c5ccc(C(=O)OCC)cc5c4cc3c2c1
ZTFBIUXIQYRUNT-MDWZMJQESA-N,TAK-165,Mubritinib,FC(F)(F)c1ccc(/C=C/c2nc(COc3ccc(CCCCn4ccnn4)cc3)co2)cc1
RCLQNICOARASSR-SECBINFHSA-N,TAK-733,,Cn1c(=O)c(F)c(Nc2ccc(I)cc2F)c2c(=O)n(C[C@@H](O)CO)cnc21
WKDACQVEJIVHMZ-UHFFFAOYSA-N,TAK-901,,CCS(=O)(=O)c1cccc(-c2cc(C(=O)NC3CCN(C)CC3)c(C)c3[nH]c4ncc(C)cc4c23)c1
MCTXSDCWFQAGFS-UEXNTNOUSA-N,TE20GB753F,Henatinib,Cc1c(/C=C2\C(=O)Nc3ccc(F)cc32)[nH]c2c1C(=O)N(C[C@H](O)CN1CCOCC1)CCC2
JMGXJHWTVBGOKG-UHFFFAOYSA-N,TG-100801,,Cc1cc(-c2cc(OC(=O)c3ccccc3)ccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12
PBCZSGKMGDDXIJ-KRUBCLEUSA-N,UCN-01,,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O
JZCWLJDSIRUGIN-UHFFFAOYSA-N,VE-822,Berzosertib,CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1
KSERXGMCDHOLSS-LJQANCHMSA-N,VRT-752271,Ulixertinib,CC(C)Nc1cc(-c2c[nH]c(C(=O)N[C@H](CO)c3cccc(Cl)c3)c2)c(Cl)cn1
GLYMPHUVMRFTFV-QLFBSQMISA-N,X-396,Ensartinib,C[C@@H]1CN(C(=O)c2ccc(NC(=O)c3cc(O[C@H](C)c4c(Cl)ccc(F)c4Cl)c(N)nn3)cc2)C[C@H](C)N1
QINPEPAQOBZPOF-UHFFFAOYSA-N,XL-147,Pilaralisib,COc1ccc(Cl)c(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccc(NC(=O)C(C)(C)N)c2)c1
ALKJNCZNEOTEMP-UHFFFAOYSA-N,XL-228,,CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1
HVXKQKFEHMGHSL-QKDCVEJESA-N,XL-647,Tesevatinib,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1
WJEOLQLKVOPQFV-UHFFFAOYSA-N,AB-1010,Masitinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1
RIJLVEAXPNLDTC-UHFFFAOYSA-N,GLPG-0634,Filgotinib,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1
MPVGZUGXCQEXTM-UHFFFAOYSA-N,ABT-869,Linifanib,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1
CVWXJKQAOSCOAB-UHFFFAOYSA-N,AC-220,Quizartinib,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1
DCRWIATZWHLIPN-UHFFFAOYSA-N,AC-430,,Cc1cc(Nc2nc(C(O)c3ccc(F)cc3)nc3ccccc23)n[nH]1
USVCWSAJUAARAL-MEMLXQNLSA-N,AEW-541,,Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@H](N2CCC2)C1
HEAIZQNMNCHNFD-UHFFFAOYSA-N,AMG-208,,COc1ccc2c(OCc3nnc4ccc(-c5ccccc5)nn34)ccnc2c1
RQVKVJIRFKVPBF-VWLOTQADSA-N,AMG-548,,Cn1c(NC[C@@H](N)Cc2ccccc2)nc(-c2ccncc2)c(-c2ccc3ccccc3c2)c1=O
RAHBGWKEPAQNFF-UHFFFAOYSA-N,AMG-706,Motesanib,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21
UCEQXRCJXIVODC-PMACEKPBSA-N,ARQ-197,Tivantinib,O=C1NC(=O)[C@@H](c2cn3c4c(cccc24)CCC3)[C@@H]1c1c[nH]c2ccccc12
UWXSAYUXVSFDBQ-CYBMUJFWSA-N,ARRY-334543,Varlitinib,C[C@@H]1COC(Nc2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2)=N1
IFGWYHGYNVGVRB-UHFFFAOYSA-N,ARRY-797,,CC(C)Cn1ncc2cc(Oc3ccc(F)cc3F)c(C(=O)NCCN(C)C)cc21
XCPPIJCBCWUBNT-UHFFFAOYSA-N,AS-602801,Bentamapimod,N#CC(c1ccnc(OCc2ccc(CN3CCOCC3)cc2)n1)c1nc2ccccc2s1
ODPGGGTTYSGTGO-UHFFFAOYSA-N,AST-487,,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1
LOLPPWBBNUVNQZ-UHFFFAOYSA-N,AT-9283,,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1
OUKYUETWWIPKQR-UHFFFAOYSA-N,AZD-0530,Saracatinib,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1
GBJVVSCPOBPEIT-UHFFFAOYSA-N,AZD-1152,Barasertib,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O
PDOQBOJDRPLBQU-QMMMGPOBSA-N,AZD-1480,,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1
XXJWYDDUDKYVKI-UHFFFAOYSA-N,AZD-2171,Cediranib,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1
XYDNMOZJKOGZLS-NSHDSACASA-N,AZD-6094,Savolitinib,C[C@@H](c1ccc2nccn2c1)n1nnc2ncc(-c3cnn(C)c3)nc21
ZMAZXHICVRYLQN-UHFFFAOYSA-N,AZD-6703,,Cc1ccc(C(=O)NC2CC2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O
IAYGCINLNONXHY-LBPRGKRZSA-N,AZD-7762,,NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1
KVLFRAWTRWDEDF-IRXDYDNUSA-N,AZD-8055,,COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO
DFJSJLGUIXFDJP-UHFFFAOYSA-N,AZD-8931,Sapitinib,CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1
XQVVPGYIWAGRNI-JOCHJYFZSA-N,BI-2536,,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1
SXNJFOWDRLKDSF-STROYTFGSA-N,BI-6727,Volasertib,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)N[C@H]4CC[C@H](N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C
FTFRZXFNZVCRSK-UHFFFAOYSA-N,BIBX-1382,Falnidamol,CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1
MVCOAUNKQVWQHZ-UHFFFAOYSA-N,BIRB-796,Doramapimod,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
GDTQLZHHDRRBEB-UHFFFAOYSA-N,BMS-582949,,CCCNC(=O)c1cn2ncnc(Nc3cc(C(=O)NC4CC4)ccc3C)c2c1C
LUJZZYWHBDHDQX-QFIPXVFZSA-N,BMS-599626,,Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12
VNBRGSXVFBYQNN-UHFFFAOYSA-N,BMS-777607,,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1
JCINBYQJBYJGDM-UHFFFAOYSA-N,BMS-911543,,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21
IBGLGMOPHJQDJB-IHRRRGAJSA-N,CC-930,Tanzisertib,O[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1
SCMLRESZJCKCTC-KMYQRJGFSA-N,CEP-1347,,CCSCc1ccc2c(c1)c1c3c(c4c5cc(CSCC)ccc5n5c4c1n2[C@H]1C[C@](O)(C(=O)OC)[C@]5(C)O1)CNC3=O
DKNUPRMJNUQNHR-UHFFFAOYSA-N,CEP-32496,Agerafenib,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC
UIARLYUEJFELEN-LROUJFHJSA-N,CEP-701,Lestaurtinib,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O
PIQCTGMSNWUMAF-UHFFFAOYSA-N,CHIR-258,Dovitinib,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1
JZZFDCXSFTVOJY-UHFFFAOYSA-N,CI-1033,Canertinib,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1
GFMMXOIFOQCCGU-UHFFFAOYSA-N,CI-1040,,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl
HUFOZJXAKZVRNJ-UHFFFAOYSA-N,CO-1686,Rociletinib,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1
HXHAJRMTJXHJJZ-UHFFFAOYSA-N,CP-547632,,NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1
LLVZBTWPGQVVLW-SNAWJCMRSA-N,CP-724714,,COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1
DYNHJHQFHQTFTP-UHFFFAOYSA-N,CP-868596,Crenolanib,CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1
PLIVFNIUGLLCEK-UHFFFAOYSA-N,CUDC-101,,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1
MUOKSQABCJCOPU-UHFFFAOYSA-N,CX-4945,Silmitasertib,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12
GPSZYOIFQZPWEJ-UHFFFAOYSA-N,CYC-116,,Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1
BTIHMVBBUGXLCJ-OAHLLOKOSA-N,CYC-202,Seliciclib,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
ZVHNDZWQTBEVRY-UHFFFAOYSA-N,CYT-387,Momelotinib,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1
MWUFVYLAWAXDHQ-HMNLTAHHSA-N,E-6201,,CCNc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\[C@@H](C)[C@H](C)OC2=O
UQRCJCNVNUFYDX-UHFFFAOYSA-N,E-7050,Golvatinib,CN1CCN(C2CCN(C(=O)Nc3cc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)c(F)c4)ccn3)CC2)CC1
WVUNYSQLFKLYNI-AATRIKPKSA-N,EKB-569,Pelitinib,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
RGJOJUGRHPQXGF-INIZCTEOSA-N,GDC-0349,,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CCN(C2COC2)C3)cc1
YOVVNQKCSKSHKT-HNNXBMFYSA-N,GDC-0980,Apitolisib,Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12
RZUOCXOYPYGSKL-GOSISDBHSA-N,GDC-0994,Ravoxertinib,Cn1nccc1Nc1nccc(-c2ccn([C@H](CO)c3ccc(Cl)c(F)c3)c(=O)c2)n1
MPYACSQFXVMWNO-UHFFFAOYSA-N,GLPG-0778,Solcitinib,CC1(C)CN(C(=O)c2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)C1
QTBWCSQGBMPECM-UHFFFAOYSA-N,GSK-1070916,,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1
